gender,age,residence,education,employment,usePOZ,freqOfVisits,isPunctual,correctDateOfEConsultation,isProblemResolved,wasVisitProposed,wereInstructionsClear,purposeOfEConsultation,useOfETechniques,isPreparedBeforeEConsultation,fearOfViolatingConfidentiality,wasDoctorEngaged,whenWasEConsultation,didTechnicalProblemsOccur,eConsultationVsVisit,eConsultationAsStandard,accessibilityVsLimitingEConsults,eConsultationVsChildren,queuesAndVisits,whoDecidesWhichForm
Male,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,True,NextDay,False,eConsultation,True,False,True,True,patient
Female,18-25,<100k,Secondary,Student,True,Occasional,True,False,False,False,True,GeneralConsultation,False,True,False,NoOpinion,SameDay,False,visit,False,False,False,True,doctor
Female,18-25,<500k,Secondary,Student,True,Regular,True,True,False,True,True,ReferralToSpecialist,True,True,NoOpinion,NoOpinion,Within3Days,True,eConsultation,True,True,True,NoOpinion,patient
Male,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,False,False,NoOpinion,NextDay,False,visit,True,NoOpinion,NoOpinion,NoOpinion,doctor
Female,26-35,<500k,University,Employed,True,Regular,True,True,True,True,True,Prescription,True,True,False,False,Within3Days,False,visit,True,False,True,True,doctor
Female,26-35,>500k,University,Employed,True,Occasional,True,True,True,True,True,ConsultOfTestResults,True,True,False,False,SameDay,False,eConsultation,True,True,NoOpinion,True,doctor
Female,18-25,Village,University,Student,True,Occasional,True,True,True,True,True,Prescription,True,False,NoOpinion,False,SameDay,False,visit,False,NoOpinion,True,False,patient
Male,26-35,>500k,University,Employed,True,Occasional,True,True,False,False,False,GeneralConsultation,True,True,NoOpinion,True,Later,False,visit,False,False,True,False,doctor
Female,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,False,True,GeneralConsultation,True,False,False,False,SameDay,False,eConsultation,True,NoOpinion,True,True,noOpinion
Male,18-25,<500k,University,Student,True,Occasional,True,True,True,False,True,Prescription,True,False,False,False,NextDay,False,eConsultation,True,True,True,True,doctor
Female,36-45,>500k,University,Employed,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,False,False,SameDay,False,visit,False,NoOpinion,True,False,doctor
Female,18-25,Village,University,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,eConsultation,True,False,True,True,patient
Female,18-25,>500k,Secondary,Student,True,Regular,True,True,False,False,True,ReferralToSpecialist,True,True,False,True,SameDay,False,visit,True,True,True,True,patient
Male,36-45,<500k,University,Employed,True,Occasional,False,True,True,True,True,Prescription,True,False,False,NoOpinion,NextDay,False,visit,False,True,True,False,doctor
Male,18-25,<50k,Secondary,Student,True,Regular,True,True,True,False,True,ConsultOfTestResults,True,True,True,NoOpinion,SameDay,False,eConsultation,True,True,False,True,patient
Female,18-25,<500k,Secondary,Student,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,NoOpinion,NoOpinion,Within3Days,False,visit,True,True,True,True,patient
Male,26-35,>500k,University,Employed,False,Occasional,True,True,True,True,True,GeneralConsultation,True,False,False,False,Within3Days,False,eConsultation,True,True,True,True,patient
Female,18-25,>500k,University,Student,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,False,False,SameDay,False,eConsultation,NoOpinion,NoOpinion,True,True,patient
Male,26-35,>500k,University,Student,True,Occasional,True,True,True,True,True,ConsultOfTestResults,True,True,NoOpinion,NoOpinion,WithinWeek,False,visit,False,False,True,NoOpinion,patient
Female,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,True,True,ConsultOfTestResults,True,True,False,NoOpinion,Within3Days,False,visit,True,True,False,True,noOpinion
Female,46-55,<100k,University,Employed,True,Occasional,True,True,True,False,True,Prescription,True,True,False,NoOpinion,SameDay,False,eConsultation,True,False,False,True,doctor
Female,18-25,>500k,Secondary,Student,True,Regular,True,True,True,False,False,GeneralConsultation,True,True,False,True,Within3Days,False,visit,NoOpinion,NoOpinion,True,True,noOpinion
Female,18-25,<500k,University,Employed,True,Regular,True,True,True,True,True,Prescription,True,False,False,True,Later,False,eConsultation,True,True,NoOpinion,True,patient
Female,26-35,<50k,University,Employed,True,Occasional,True,True,True,True,True,Prescription,True,True,False,NoOpinion,Within3Days,False,visit,True,True,True,True,doctor
Female,36-45,Village,University,Employed,True,Regular,True,True,True,True,True,GeneralConsultation,True,True,False,False,NextDay,False,visit,True,True,True,NoOpinion,patient
Male,18-25,>500k,Secondary,Student,True,Regular,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,eConsultation,True,True,False,True,patient
Female,18-25,Village,University,Student,True,Regular,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,eConsultation,True,NoOpinion,False,True,doctor
Female,18-25,>500k,University,Employed,False,Occasional,True,True,False,True,False,ReferralToSpecialist,True,True,True,True,NextDay,False,visit,False,False,True,NoOpinion,patient
Female,26-35,>500k,University,Employed,True,Occasional,True,True,True,True,True,ConsultOfTestResults,True,True,False,False,SameDay,False,eConsultation,True,False,True,True,patient
Female,26-35,>500k,University,Employed,True,Occasional,True,True,False,True,True,ConsultOfTestResults,False,False,True,True,Within3Days,False,visit,NoOpinion,NoOpinion,True,False,patient
Male,46-55,<500k,University,Employed,True,Occasional,True,True,True,True,True,ConsultOfTestResults,False,True,False,NoOpinion,Within3Days,False,visit,True,True,True,True,patient
Female,18-25,>500k,Secondary,Student,True,Regular,True,True,True,True,True,Prescription,True,True,False,False,SameDay,False,visit,True,True,False,True,patient
Female,46-55,<10k,University,Employed,True,Occasional,True,True,False,False,False,GeneralConsultation,True,True,True,True,Within3Days,False,visit,False,True,True,False,doctor
Female,18-25,<100k,Secondary,Student,True,Occasional,True,True,True,False,True,ReferralToSpecialist,True,True,False,NoOpinion,Within3Days,False,visit,True,True,False,True,patient
Female,26-35,<50k,Secondary,Employed,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,False,True,NextDay,False,visit,False,False,False,True,patient
Female,18-25,>500k,Secondary,Employed,False,Occasional,True,False,True,False,True,GeneralConsultation,True,True,NoOpinion,NoOpinion,SameDay,True,eConsultation,True,True,NoOpinion,True,noOpinion
Female,18-25,<500k,University,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,NoOpinion,WithinWeek,False,visit,NoOpinion,True,True,True,patient
Female,18-25,Village,University,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,True,SameDay,False,eConsultation,False,True,False,True,patient
Female,26-35,<100k,University,Employed,True,Occasional,True,False,True,False,True,GeneralConsultation,True,False,False,False,WithinWeek,False,visit,True,True,False,False,patient
Female,46-55,<100k,University,Employed,True,Occasional,True,True,False,False,False,GeneralConsultation,True,True,NoOpinion,True,WithinWeek,False,visit,False,True,True,True,patient
Female,46-55,<100k,University,Employed,True,Occasional,True,True,True,True,True,Prescription,True,True,False,False,SameDay,False,eConsultation,True,True,True,False,doctor
Female,18-25,<500k,University,Employed,True,Occasional,True,True,True,True,True,Prescription,False,False,NoOpinion,NoOpinion,SameDay,False,visit,True,NoOpinion,NoOpinion,NoOpinion,noOpinion
Female,36-45,<100k,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,Within3Days,False,visit,False,True,True,True,patient
Female,36-45,Village,University,Employed,True,Regular,True,True,False,True,False,ReferralToSpecialist,True,True,False,True,SameDay,False,visit,False,False,True,True,patient
Female,36-45,Village,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,False,False,NoOpinion,WithinWeek,False,visit,True,NoOpinion,True,True,patient
Male,18-25,<50k,Secondary,Student,False,Occasional,False,False,False,False,False,GeneralConsultation,True,True,True,NoOpinion,Later,False,visit,True,True,True,True,doctor
Female,26-35,>500k,Secondary,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,Within3Days,False,visit,True,True,True,True,doctor
Female,36-45,<100k,University,Employed,True,Occasional,True,True,False,False,False,GeneralConsultation,True,True,True,True,Within3Days,False,visit,False,False,True,NoOpinion,patient
Female,46-55,<100k,University,Employed,True,Occasional,True,True,True,False,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,True,True,True,True,doctor
Male,46-55,<100k,University,Employed,True,Regular,True,True,True,False,True,Prescription,True,True,True,False,SameDay,False,eConsultation,True,True,True,True,doctor
Female,56-65,<100k,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,False,False,False,SameDay,False,visit,True,True,True,False,patient
Female,36-45,>500k,University,Employed,True,Occasional,True,True,True,False,True,GeneralConsultation,True,True,False,True,Within3Days,True,visit,False,NoOpinion,True,True,doctor
Female,18-25,Village,Secondary,Student,True,Occasional,True,False,False,False,False,GeneralConsultation,True,True,True,False,Within3Days,True,visit,False,True,True,True,patient
Male,18-25,>500k,Secondary,Employed,True,Occasional,True,True,False,True,False,GeneralConsultation,False,True,False,True,Within3Days,False,visit,NoOpinion,False,NoOpinion,True,noOpinion
Female,36-45,<100k,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,False,False,True,False,doctor
Male,18-25,>500k,Secondary,Student,True,Occasional,True,False,True,False,True,ConsultOfTestResults,True,True,True,NoOpinion,WithinWeek,True,eConsultation,True,True,False,True,doctor
Male,46-55,<100k,Secondary,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,NoOpinion,Within3Days,False,visit,False,NoOpinion,True,NoOpinion,doctor
Female,36-45,<500k,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,False,NoOpinion,NoOpinion,NoOpinion,patient
Female,18-25,<100k,Secondary,Employed,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,False,False,SameDay,False,eConsultation,True,NoOpinion,NoOpinion,True,patient
Female,18-25,<100k,University,Employed,True,Occasional,True,True,False,False,False,GeneralConsultation,True,True,False,True,NextDay,False,eConsultation,True,True,True,True,patient
Female,18-25,<100k,Secondary,Employed,True,Occasional,True,False,False,True,True,ReferralToSpecialist,False,True,NoOpinion,True,Within3Days,True,visit,False,True,True,True,doctor
Female,26-35,<50k,University,Employed,True,Occasional,True,True,False,True,False,ReferralToSpecialist,True,False,NoOpinion,True,WithinWeek,False,visit,False,False,True,NoOpinion,patient
Female,56-65,<100k,University,Employed,True,Occasional,True,True,True,False,True,GeneralConsultation,True,True,NoOpinion,NoOpinion,Within3Days,False,visit,NoOpinion,False,True,NoOpinion,patient
Female,26-35,<100k,University,Employed,True,Occasional,True,True,True,True,True,Prescription,True,True,False,False,NextDay,False,eConsultation,True,False,NoOpinion,True,patient
Female,56-65,<50k,University,Employed,True,Regular,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,True,NoOpinion,True,True,doctor
Male,26-35,<500k,Secondary,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,False,True,False,NoOpinion,Within3Days,False,visit,False,False,False,NoOpinion,patient
Female,56-65,Village,Secondary,Employed,True,Occasional,True,True,True,False,True,ReferralToSpecialist,True,True,False,NoOpinion,SameDay,False,visit,False,NoOpinion,True,NoOpinion,doctor
Female,46-55,<100k,University,Employed,True,Regular,True,False,False,False,True,GeneralConsultation,True,True,False,True,Within3Days,True,visit,False,True,True,True,patient
Female,18-25,<100k,Primary,Student,True,Regular,True,True,False,True,False,ReferralToSpecialist,True,True,True,NoOpinion,Later,True,visit,False,True,True,True,noOpinion
Female,36-45,<100k,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,True,NextDay,False,eConsultation,True,True,True,True,patient
Female,46-55,<100k,University,Employed,True,Regular,True,True,True,True,True,Prescription,True,True,False,True,Within3Days,False,visit,False,NoOpinion,True,NoOpinion,patient
Male,18-25,<100k,Secondary,Student,True,Occasional,True,True,False,False,False,ReferralToSpecialist,True,True,NoOpinion,True,WithinWeek,False,visit,False,NoOpinion,True,True,doctor
Male,36-45,<50k,University,Employed,True,Occasional,True,True,True,False,False,GeneralConsultation,False,True,True,True,Within3Days,False,visit,NoOpinion,NoOpinion,NoOpinion,True,patient
Male,18-25,Village,Secondary,Student,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,NoOpinion,NoOpinion,NextDay,False,visit,NoOpinion,NoOpinion,NoOpinion,True,patient
Female,26-35,>500k,University,Employed,True,Regular,True,True,True,True,True,Prescription,True,True,False,True,WithinWeek,False,visit,True,True,True,True,patient
Female,18-25,<100k,Secondary,Student,True,Occasional,True,True,True,True,True,Prescription,True,True,False,NoOpinion,SameDay,False,visit,True,NoOpinion,True,NoOpinion,patient
Female,18-25,<100k,University,Employed,True,Occasional,True,False,False,False,False,GeneralConsultation,True,True,False,True,SameDay,False,visit,False,False,True,False,noOpinion
Female,36-45,<100k,University,Employed,True,Regular,True,True,True,False,True,GeneralConsultation,True,True,False,True,Within3Days,False,visit,False,True,True,True,patient
Female,26-35,>500k,University,Employed,True,Regular,True,False,False,True,False,GeneralConsultation,True,True,True,False,SameDay,False,eConsultation,True,False,True,True,patient
Female,36-45,<100k,University,Employed,True,Regular,True,True,True,True,True,GeneralConsultation,True,True,False,False,Within3Days,False,visit,False,False,True,False,patient
Female,18-25,Village,Secondary,Student,True,Occasional,True,True,False,False,False,GeneralConsultation,False,True,NoOpinion,True,NextDay,True,visit,False,True,True,True,patient
Female,26-35,<100k,Secondary,Unemployed,True,Regular,True,False,False,False,False,ReferralToSpecialist,False,True,False,True,WithinWeek,True,visit,False,False,True,False,patient
Female,26-35,>500k,Primary,Unemployed,True,Occasional,True,True,False,False,False,ReferralToSpecialist,True,True,False,NoOpinion,WithinWeek,False,visit,NoOpinion,True,False,True,doctor
Male,36-45,<100k,Secondary,Employed,True,Regular,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,eConsultation,True,False,False,False,patient
Female,18-25,<100k,Secondary,Student,True,Occasional,True,True,True,False,False,GeneralConsultation,True,True,False,NoOpinion,Within3Days,False,visit,False,True,NoOpinion,True,patient
Female,18-25,<500k,University,Student,True,Occasional,True,False,True,False,True,GeneralConsultation,True,True,False,True,SameDay,False,visit,True,False,True,False,patient
Female,26-35,Village,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,False,True,True,False,patient
Female,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,False,False,Prescription,True,True,False,True,WithinWeek,False,visit,False,NoOpinion,True,True,patient
Female,26-35,Village,University,Employed,True,Regular,True,False,True,False,False,GeneralConsultation,True,True,False,True,SameDay,True,visit,True,True,True,True,doctor
Female,18-25,>500k,Secondary,Employed,True,Occasional,True,True,True,False,True,GeneralConsultation,True,True,False,True,SameDay,False,eConsultation,True,NoOpinion,True,NoOpinion,patient
Female,46-55,<50k,University,Employed,True,Occasional,True,True,False,True,True,GeneralConsultation,True,True,True,True,Within3Days,False,visit,True,True,True,True,doctor
Female,18-25,<500k,Secondary,Employed,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,False,False,SameDay,False,eConsultation,NoOpinion,True,True,True,doctor
Female,18-25,<100k,Secondary,Employed,True,Occasional,True,True,False,False,False,ConsultOfTestResults,True,True,False,True,WithinWeek,True,visit,False,False,True,False,patient
Female,36-45,Village,University,Employed,True,Occasional,True,True,False,False,False,GeneralConsultation,False,True,NoOpinion,NoOpinion,WithinWeek,False,visit,False,False,True,True,patient
Female,26-35,<100k,Secondary,Unemployed,True,Occasional,True,True,False,True,True,ReferralToSpecialist,True,True,True,True,Within3Days,False,visit,NoOpinion,True,True,False,patient
Female,46-55,<500k,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,False,False,False,SameDay,False,visit,True,True,True,True,patient
Female,46-55,<100k,University,Employed,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,NoOpinion,True,Within3Days,False,visit,False,False,True,False,patient
Female,46-55,<50k,University,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,NoOpinion,False,SameDay,False,visit,False,NoOpinion,NoOpinion,True,patient
Female,36-45,<50k,Secondary,Employed,True,Regular,True,True,False,True,False,GeneralConsultation,True,True,False,True,WithinWeek,False,visit,False,True,True,True,patient
Male,26-35,<100k,University,Employed,True,Occasional,True,True,True,True,True,ConsultOfTestResults,True,False,False,False,Within3Days,False,eConsultation,True,True,True,True,doctor
Female,36-45,<50k,Secondary,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,True,False,False,False,patient
Female,18-25,<50k,Secondary,Student,True,Occasional,True,True,True,False,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,False,False,True,True,doctor
Female,56-65,<50k,Secondary,Employed,True,Regular,True,True,True,True,True,ReferralToSpecialist,True,True,False,False,SameDay,False,visit,NoOpinion,True,True,NoOpinion,doctor
Male,26-35,<50k,Secondary,Employed,True,Occasional,True,True,True,False,True,GeneralConsultation,True,False,True,True,SameDay,False,visit,False,False,True,False,patient
Male,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,False,True,GeneralConsultation,True,True,False,False,NextDay,False,visit,True,NoOpinion,NoOpinion,True,noOpinion
Female,46-55,Village,Vocational,Employed,True,Occasional,True,True,False,True,True,Prescription,True,True,True,NoOpinion,Within3Days,False,visit,False,True,True,NoOpinion,patient
Male,36-45,<50k,Secondary,Employed,True,Regular,True,True,False,False,True,ReferralToSpecialist,True,False,True,False,SameDay,False,visit,False,True,True,True,patient
Female,36-45,<50k,Vocational,Unemployed,True,Regular,True,True,True,False,True,Prescription,True,True,False,True,SameDay,False,visit,False,False,True,True,doctor
Female,56-65,<50k,Secondary,Employed,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,visit,True,True,False,True,patient
Female,36-45,<100k,University,Employed,True,Occasional,True,True,True,True,True,Prescription,True,True,False,True,SameDay,False,eConsultation,True,NoOpinion,True,True,patient
Female,18-25,<10k,Secondary,Student,True,Occasional,True,True,True,False,True,GeneralConsultation,True,True,NoOpinion,NoOpinion,Within3Days,False,visit,False,NoOpinion,True,NoOpinion,noOpinion
